Time of Day,Process Name,PID,Operation,Path,Source
2023-03-04 11:54:08.470,C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.12.1.0\AMAExtHealthMonitor.exe,3532,File Create,C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.12.1.0\Status\HeartBeat.Json,EDR Log
2023-03-04 11:54:09.580,C:\WindowsAzure\GuestAgent_2.7.41491.1075_2023-03-03_013916\WindowsAzureGuestAgent.exe,3556,File Create,C:\WindowsAzure\Logs\AggregateStatus\aggregatestatus.json,EDR Log
2023-03-04 11:54:09.924,C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.12.1.0\Monitoring\Agent\MonAgentManager.exe,1580,File Create,C:\WindowsAzure\Resources\AMADataStore.Target-machine\mcs\monagentmanager.hr.json,EDR Log
2023-03-04 11:54:10.845,C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.12.1.0\Monitoring\Agent\MonAgentCore.exe,2616,File Create,C:\WindowsAzure\Resources\AMADataStore.Target-machine\mcs\monagentcore.hr.json,EDR Log
2023-03-04 11:54:15.580,C:\Packages\Plugins\Microsoft.EnterpriseCloud.Monitoring.MicrosoftMonitoringAgent\1.0.18067.0\MMAExtensionHeartbeatService.exe,4212,File Create,C:\Packages\Plugins\Microsoft.EnterpriseCloud.Monitoring.MicrosoftMonitoringAgent\1.0.18067.0\Status\HeartBeat.Json,EDR Log
2023-03-04 11:54:16.017,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:17.377,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:18.095,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:18.736,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:18.805,C:\Windows\explorer.exe,6276,Process Create,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,EDR Log
2023-03-04 11:54:19.049,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:19.689,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,File Create,C:\Users\azureuser\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\3NOYYZDK\www.bing[1].xml,EDR Log
2023-03-04 11:54:19.877,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,File Create,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\FQO9CL0SRMVJIHOXOCTN.temp,EDR Log
2023-03-04 11:54:19.892,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,File Create,C:\Users\azureuser\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\590aee7bdd69b59b.customDestinations-ms~RF90642c.TMP,EDR Log
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,EDR Log
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,EDR Log
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,EDR Log
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,EDR Log
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,EDR Log
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,EDR Log
2023-03-04 11:54:19.970,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Process Access,C:\Windows\Explorer.EXE,EDR Log
2023-03-04 11:54:20.486,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,File Create,C:\Users\azureuser\AppData\Local\Temp\__PSScriptPolicyTest_afmbildg.qat.ps1,EDR Log
2023-03-04 11:54:20.486,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,File Create,C:\Users\azureuser\AppData\Local\Temp\__PSScriptPolicyTest_bqhzcw1f.2xg.psm1,EDR Log
2023-03-04 11:54:20.502,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6116,Image Load,C:\Windows\System32\amsi.dll,EDR Log
2023-03-04 11:54:21.281,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,DNSEvent,fp-vp-nocache.azureedge.net,EDR Log
2023-03-04 11:54:21.453,C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe,7180,DNSEvent,3427bed104deb43a30272a2e62e06d93.clo.footprintdns.com,EDR Log
2023-03-04 11:54:21.611,C:\Windows\system32\svchost.exe,2852,DNSEvent,3427bed104deb43a30272a2e62e06d93.clo.footprintdns.com,EDR Log
