Time of Day,Process Name,PID,Operation,Path,Source
1:10:49.9569884 PM,lsass.exe,748,QueryNameInformationFile,C:\Users\azureuser\Downloads\ProcessMonitor\Procmon64.exe,Process Monitor
1:10:49.9581295 PM,lsass.exe,748,QueryNameInformationFile,C:\Users\azureuser\Downloads\ProcessMonitor\Procmon64.exe,Process Monitor
1:10:49.9666983 PM,svchost.exe,3712,TCP Send,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:49.9667524 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:49.9670642 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:49.9670801 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:49.9830404 PM,svchost.exe,3712,TCP Send,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:49.9830807 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:49.9990205 PM,svchost.exe,3712,TCP Send,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:49.9990569 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:50.0179177 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:50.0295619 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,Process Monitor
1:10:50.0409675 PM,svchost.exe,3712,TCP Disconnect,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 191.101.157.129:60687,Process Monitor
1:10:50.0411377 PM,svchost.exe,3712,Thread Exit,,Process Monitor
1:10:50.0418424 PM,svchost.exe,3712,Thread Exit,,Process Monitor
1:10:50.0421458 PM,svchost.exe,3712,Thread Create,,Process Monitor
1:10:50.0422702 PM,svchost.exe,3712,Thread Exit,,Process Monitor
