ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2020-04-30 00:06:39.825897984,CZf56Z2esy56Udp99b,10.0.1.6,54243,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,83,
2020-04-30 00:07:59.955475200,C3IP2B3SBL9pAOE6q9,10.0.1.6,65108,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,132,
2020-04-30 00:09:50.836782848,CIE8cF0uF3zoXWxk6,10.0.0.4,123,10.0.1.6,123,udp,,,,,S0,,,0,D,1,148,0,0,
2020-04-30 00:06:39.828685056,CT2Y4g2wVnhdsAtwrh,10.0.1.6,56880,10.0.0.4,445,tcp,"krb,gssapi,smb",0 days 00:00:10.760004,0,1681,OTH,,,0,^hda,0,0,11,2133,
2020-04-30 00:15:23.304440064,C4cUE6PBj9uuqmj1k,10.0.1.6,54192,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,79,
2020-04-30 00:18:00.053144064,CLAJQX2TQaz7ejfNm4,10.0.1.6,56542,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,132,
2020-04-30 00:20:48.595127040,C513BP32BXOilP54i3,10.0.0.4,49667,10.0.1.6,56954,tcp,"dce_rpc,gssapi",0 days 00:00:00.037156,1098,0,OTH,,,0,HADT,8,1570,0,0,
2020-04-30 00:20:48.983251968,C56Cq8WbXg1rAN9A,10.0.0.4,389,10.0.1.6,56956,tcp,,0 days 00:00:00.368968,515,0,OTH,,,0,HADTR,8,996,0,0,
2020-04-30 00:20:48.841814016,CmRXuR2Rmf6QFktECl,10.0.0.4,389,10.0.1.6,56955,tcp,,0 days 00:00:00.514787,4544,0,OTH,,,0,HDATR,11,6595,0,0,
2020-04-30 00:20:48.592348160,CoU6qe2m4Be13IaPe4,10.0.1.6,56953,10.0.0.4,135,tcp,dce_rpc,0 days 00:00:14.711606,0,280,SHR,,,0,^hdtaf,0,0,6,704,
2020-04-30 00:21:23.331679232,CKE5vj3YEVgaGU2pP3,10.0.0.4,49667,10.0.1.6,56954,tcp,,,,,SH,,,0,AF,2,80,0,0,
2020-04-30 00:20:48.482667008,C7SkFV3RerX9ug9vSh,10.0.0.4,389,10.0.1.6,56543,udp,,,,,S0,,,0,D,1,202,0,0,
2020-04-30 00:20:48.872111104,CzoTO52oihtOhSER6g,10.0.0.4,389,10.0.1.6,56545,udp,,,,,S0,,,0,D,1,202,0,0,
2020-04-30 00:26:54.928744960,Cr07Uy2jfRwz5ed2Z9,10.0.0.4,123,10.0.1.6,123,udp,,,,,S0,,,0,D,1,148,0,0,
2020-04-30 00:28:00.103470080,CaPEdL1BIFTEJmOerb,10.0.1.6,56622,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,132,
2020-04-30 00:20:49.292278016,C5rojG1hHa6zS2ucB6,10.0.1.6,56957,10.0.0.4,445,tcp,"krb,gssapi,smb",0 days 00:03:03.003205,0,12520,OTH,,,0,^hdat,0,0,70,16324,
2020-04-30 00:32:43.428101120,CKOpXp3Vxr6lWikXc2,10.0.1.6,64909,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,193,
2020-04-30 00:33:29.274476032,CHZIDN1MKoACCleXO9,10.0.1.4,60775,10.0.1.6,5985,tcp,http,0 days 00:00:00.012038,4719,0,SH,,,0,SADF,9,5091,0,0,
2020-04-30 00:33:27.772179968,ClXgVz3TEAXQj3v5gk,10.0.1.4,60772,10.0.1.6,5985,tcp,http,0 days 00:00:01.519858999,11473,0,SH,,,0,SADF,20,12285,0,0,
2020-04-30 00:33:26.283441920,Ci2v3u20R2zIkvMwoe,10.0.1.4,60771,10.0.1.6,5985,tcp,http,0 days 00:00:03.010729,24430,0,SH,,,0,SADCF,25,14098,0,0,
2020-04-30 00:33:47.771982080,CrLY012OATdFh9p807,10.0.1.6,56837,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,289,
2020-04-30 00:34:54.122176000,CcQOZ69U1HZiGXbK5,10.0.0.4,49667,10.0.1.6,57025,tcp,dce_rpc,0 days 00:00:00.032401,472,0,OTH,,,0,HDT,4,988,0,0,
2020-04-30 00:34:54.196687872,C8GXkq4kVVbSpJH44l,10.0.0.4,389,10.0.1.6,57027,tcp,,0 days 00:00:00.002089999,386,0,OTH,,,0,HDAR,4,558,0,0,
2020-04-30 00:34:51.728611072,CpQCEn4ko4aCElVD6j,10.0.1.6,58829,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,186,
2020-04-30 00:34:51.730969856,CORhVG2GfBgnCnEpgg,10.0.1.6,52350,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,155,
2020-04-30 00:34:54.286920960,CifQ3y4UPt8ueeza4c,10.0.1.6,64562,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,138,
2020-04-30 00:34:54.117288960,CObH5v3YHvpetLGVla,10.0.1.6,57024,10.0.0.4,135,tcp,dce_rpc,0 days 00:00:12.409780,0,280,SHR,,,0,^hdtaf,0,0,6,704,
2020-04-30 00:35:06.527152896,CgwskH1ZNRuBQ4Fku4,10.0.0.4,49667,10.0.1.6,57025,tcp,,,,,SH,,,0,AF,2,80,0,0,
2020-04-30 00:35:25.606391040,CM5iobHJT9rNBIvul,10.0.1.4,60803,10.0.1.6,445,tcp,"krb,gssapi,smb",0 days 00:00:00.526528,4261160,0,S0,,,0,SADCCC,168,218084,0,0,
2020-04-30 00:35:26.036974080,CDXncc3bQcn1VOy9R4,10.0.1.4,60805,10.0.1.6,445,tcp,"gssapi,krb,smb",0 days 00:00:00.048855,2012,0,S0,,,0,SAD,6,2264,0,0,
2020-04-30 00:35:26.037337088,CxOabb3sXNExFxqIvh,10.0.1.4,60806,10.0.1.6,445,tcp,"gssapi,krb,smb",0 days 00:00:00.043535,527228,0,S0,,,0,SADCC,34,33718,0,0,
2020-04-30 00:35:26.038793984,CSS9L04bAP8XzvRZXb,10.0.1.4,60807,10.0.1.6,445,tcp,"gssapi,krb,smb",0 days 00:00:00.094125,527368,0,S0,,,0,SADCC,18,11948,0,0,
2020-04-30 00:35:36.347068928,CSAWdQ3yEmBrdEgnLk,10.0.1.4,60807,10.0.1.6,445,tcp,,,,,OTH,,,0,R,1,40,0,0,
2020-04-30 00:35:36.347072000,CMkgNH1YmxsmyFIwJ6,10.0.1.4,60803,10.0.1.6,445,tcp,,,,,OTH,,,0,R,1,40,0,0,
2020-04-30 00:35:36.345131008,CasPxX24s5hSuNdJil,10.0.1.4,60805,10.0.1.6,445,tcp,,0 days 00:00:00.001964,72,0,OTH,,,0,DR,2,152,0,0,
2020-04-30 00:35:36.345905920,C0ZDU63JK72kHINgk,10.0.1.4,60806,10.0.1.6,445,tcp,,0 days 00:00:00.001365,72,0,OTH,,,0,DR,2,152,0,0,
2020-04-30 00:34:54.009310976,CmU3KX17o2HG235B8h,10.0.0.4,389,10.0.1.6,52351,udp,,,,,S0,,,0,D,1,202,0,0,
2020-04-30 00:34:54.288587008,C5nDuG3LmFohDlNz82,10.0.0.4,389,10.0.1.6,64563,udp,,,,,S0,,,0,D,1,202,0,0,
2020-04-30 00:36:17.825392896,CCrKNL17MGRUHjSP36,10.0.1.4,60811,10.0.1.6,445,tcp,"krb,gssapi,smb",0 days 00:00:00.080135,166026,0,S0,,,0,SADC,20,6604,0,0,
2020-04-30 00:36:17.865700864,CZONgw41mY16hJpu27,10.0.1.4,60815,10.0.1.6,135,tcp,dce_rpc,0 days 00:00:00.055310,328,0,S0,,,0,SAD,5,540,0,0,
