Timestamp,Category,Classification,Priority,Protocol,Direction
04/30/2020-08:08:43.385543,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:138 -> 10.0.1.255:138
04/30/2020-08:08:43.385543,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:138 -> 10.0.1.255:138
04/30/2020-08:06:39.827696,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:20:48.594290,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:06:39.827696,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56880 -> 10.0.0.4:445
04/30/2020-08:20:48.594290,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:56954 -> 10.0.0.4:49667
04/30/2020-08:09:50.833714,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:123 -> 10.0.0.4:123
04/30/2020-08:09:50.833714,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:123 -> 10.0.0.4:123
04/30/2020-08:33:28.214150,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:33:28.214150,SURICATA TCPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,TCP,10.0.1.6:5985 -> 10.0.1.4:60774
04/30/2020-08:06:39.824370,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:54243 -> 10.0.0.4:53
04/30/2020-08:18:00.051921,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56542 -> 10.0.0.4:53
04/30/2020-08:18:00.051921,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:56542 -> 10.0.0.4:53
04/30/2020-08:06:39.824370,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:54243 -> 10.0.0.4:53
04/30/2020-08:07:59.953876,SURICATA IPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:65108 -> 10.0.0.4:53
04/30/2020-08:07:59.953876,SURICATA UDPv4 invalid checksum,Classification: Generic Protocol Command Decode,Priority: 3,UDP,10.0.1.6:65108 -> 10.0.0.4:53
