Time of Day,Process Name,PID,Operation,Path,Result,Detail
1:10:49.9569884 PM,lsass.exe,748,QueryNameInformationFile,C:\Users\azureuser\Downloads\ProcessMonitor\Procmon64.exe,SUCCESS,Name: \Users\azureuser\Downloads\ProcessMonitor\Procmon64.exe
1:10:49.9666983 PM,svchost.exe,3712,TCP Send,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,SUCCESS,"Length: 37, startime: 2383610, endtime: 2383619, seqnum: 0, connid: 0"
1:10:49.9667524 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 172.196.88.116.starhub.net.sg:59978,SUCCESS,"Length: 43, seqnum: 0, connid: 0"
1:10:50.0409675 PM,svchost.exe,3712,TCP Disconnect,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 191.101.157.129:60687,SUCCESS,"Length: 0, seqnum: 0, connid: 0"
1:10:50.0411377 PM,svchost.exe,3712,Thread Exit,,SUCCESS,"Thread ID: 9884, User Time: 0.0000000, Kernel Time: 0.0000000"
1:10:50.0421458 PM,svchost.exe,3712,Thread Create,,SUCCESS,Thread ID: 3376
1:10:50.0707820 PM,Explorer.EXE,1296,RegOpenKey,HKCU,SUCCESS,Desired Access: Query Value
1:10:50.0721453 PM,Explorer.EXE,1296,CreateFile,C:\Users\azureuser\Downloads\ProcessMonitor\Procmon64.exe,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:50.0721758 PM,Explorer.EXE,1296,QueryBasicInformationFile,C:\Users\azureuser\Downloads\ProcessMonitor\Procmon64.exe,SUCCESS,"CreationTime: 3/9/2023 9:12:08 PM, LastAccessTime: 5/10/2023 12:30:17 PM, LastWriteTime: 3/9/2023 9:12:08 PM, ChangeTime: 5/10/2023 9:42:46 AM, FileAttributes: N"
1:10:50.0721963 PM,Explorer.EXE,1296,CloseFile,C:\Users\azureuser\Downloads\ProcessMonitor\Procmon64.exe,SUCCESS,
1:10:50.1385614 PM,svchost.exe,3712,TCP Send,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 191.101.157.129:50648,SUCCESS,"Length: 213, startime: 2383601, endtime: 2383636, seqnum: 0, connid: 0"
1:10:50.1386033 PM,svchost.exe,3712,TCP Receive,win10-3.n2lktqibtimupkzgx0j3ic54pc.hx.internal.cloudapp.net:ms-wbt-server -> 191.101.157.129:50648,SUCCESS,"Length: 597, seqnum: 0, connid: 0"
1:10:50.1389539 PM,lsass.exe,748,RegOpenKey,HKLM\SAM\SAM\DOMAINS\Account\Users\000001F5,SUCCESS,Desired Access: Read/Write
1:10:50.3902043 PM,SearchProtocolHost.exe,1696,ReadFile,C:\Users\azureuser\Downloads\Ability Log\Rundll32 with Ordinal Value (T1218.011)\Rundll32 with Ordinal Value (T1218.011).CSV,SUCCESS,"Offset: 9,764,864, Length: 131,072, Priority: Very Low"
1:10:50.3973628 PM,svchost.exe,6480,Thread Create,,SUCCESS,Thread ID: 9512
1:10:50.5861152 PM,svchost.exe,2144,RegOpenKey,HKCR\CLSID\{397A2E5F-348C-482D-B9A3-57D383B483CD},SUCCESS,Desired Access: Read
1:10:50.9021045 PM,ctfmon.exe,2072,RegOpenKey,HKCU\Software\Microsoft\InputPersonalization,SUCCESS,Desired Access: Query Value
1:10:50.9022538 PM,ctfmon.exe,2072,RegOpenKey,HKLM\SOFTWARE\Microsoft\Input\Settings,SUCCESS,Desired Access: Read
1:10:50.9023439 PM,ctfmon.exe,2072,RegOpenKey,HKCU\Software\Microsoft\Input\TypingInsights,SUCCESS,Desired Access: Read
1:10:50.9024589 PM,ctfmon.exe,2072,RegCreateKey,HKCU\Software\Microsoft\Input\TypingInsights,SUCCESS,"Desired Access: Write, Disposition: REG_OPENED_EXISTING_KEY"
1:10:50.9025516 PM,ctfmon.exe,2072,RegSetValue,HKCU\SOFTWARE\Microsoft\Input\TypingInsights\Insights,SUCCESS,"Type: REG_BINARY, Length: 28, Data: 02 00 00 00 07 1D E8 C1 31 CC 83 60 A3 D6 D9 C1"
1:10:50.9028059 PM,mmc.exe,7248,RegOpenKey,HKCU,SUCCESS,Desired Access: Read
1:10:50.9029104 PM,mmc.exe,7248,RegOpenKey,HKCU\Software\Microsoft\Windows\CurrentVersion\ImmersiveShell,SUCCESS,Desired Access: Query Value
1:10:50.9030554 PM,ctfmon.exe,2072,RegOpenKey,HKLM\Software\Microsoft\Input\Settings,SUCCESS,Desired Access: Query Value
1:10:50.9034177 PM,mmc.exe,7248,RegOpenKey,HKCU\Software\Microsoft\Windows\DWM,SUCCESS,Desired Access: Query Value
1:10:50.9069419 PM,Explorer.EXE,1296,CreateFile,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools,SUCCESS,"Desired Access: Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:50.9070009 PM,Explorer.EXE,1296,CloseFile,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools,SUCCESS,
1:10:50.9071595 PM,Explorer.EXE,1296,QuerySecurityFile,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools,SUCCESS,Information: Label
1:10:50.9073559 PM,Explorer.EXE,1296,RegOpenKey,HKCR\Drive\shellex\FolderExtensions,SUCCESS,Desired Access: Enumerate Sub Keys
1:10:50.9076694 PM,Explorer.EXE,1296,RegOpenKey,HKCR\Drive\shellex\FolderExtensions\{fbeb8a05-beee-4442-804e-409d6c4515e9},SUCCESS,Desired Access: Query Value
1:10:50.9082591 PM,ctfmon.exe,2072,QueryNameInformationFile,C:\Windows\System32\mmc.exe,SUCCESS,Name: \Windows\System32\mmc.exe
1:10:50.9085683 PM,ctfmon.exe,2072,RegOpenKey,HKLM\Software\Microsoft\Input\Locales\loc_0409,SUCCESS,Desired Access: Read
1:10:50.9088049 PM,ctfmon.exe,2072,RegOpenKey,HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409\im_1,SUCCESS,Desired Access: Query Value
1:10:50.9090946 PM,ctfmon.exe,2072,RegOpenKey,HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1\loc_0409,SUCCESS,Desired Access: Query Value
1:10:50.9091794 PM,ctfmon.exe,2072,RegOpenKey,HKLM\SOFTWARE\Microsoft\Input\Settings\proc_1,SUCCESS,Desired Access: Query Value
1:10:50.9103530 PM,ctfmon.exe,2072,RegOpenKey,HKLM\SOFTWARE\Microsoft\Input\Settings\is_0,SUCCESS,Desired Access: Query Value
1:10:50.9113021 PM,ctfmon.exe,2072,CreateFile,C:\Windows\Globalization\ELS\SpellDictionaries\MsSp7en-US.lex,SUCCESS,"Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
1:10:50.9113331 PM,ctfmon.exe,2072,QueryBasicInformationFile,C:\Windows\Globalization\ELS\SpellDictionaries\MsSp7en-US.lex,SUCCESS,"CreationTime: 12/7/2019 9:50:56 AM, LastAccessTime: 5/10/2023 9:43:07 AM, LastWriteTime: 12/6/2019 4:33:00 PM, ChangeTime: 5/5/2023 2:04:22 PM, FileAttributes: A"
1:10:50.9113543 PM,ctfmon.exe,2072,CloseFile,C:\Windows\Globalization\ELS\SpellDictionaries\MsSp7en-US.lex,SUCCESS,
1:10:50.9133248 PM,ctfmon.exe,2072,RegOpenKey,HKCU\Software\Microsoft\TabletTip\1.7,SUCCESS,Desired Access: Query Value
1:10:50.9135997 PM,Explorer.EXE,1296,CreateFile,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk,SUCCESS,"Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
